          RA           DEC             R062             Z087 
 00:53:24.70  +39:51:05.73       28.3227916       29.4005709 
 00:53:29.66  +39:51:22.12       27.4644960       28.6292308 
 00:53:19.30  +39:50:47.75       28.7644960       29.9292308 
 00:53:21.12  +39:50:53.50       29.4164568       30.2985862 
 00:53:23.73  +39:51:02.12       28.8940133       29.9065760 
 00:53:29.86  +39:51:22.30       29.3030481       30.0112664 
 00:53:18.34  +39:50:44.17       20.6376785       21.4545912 
 00:53:23.49  +39:51:01.14       28.3910872       29.3819110 
 00:53:18.65  +39:50:45.12       29.3806046       30.2192562 
 00:53:20.32  +39:50:50.61       29.2054915       29.7832766 
 00:53:25.81  +39:51:08.73       28.4118112       29.6308932 
 00:53:24.35  +39:51:03.88       28.5135155       29.8195531 
 00:53:30.10  +39:51:22.85       28.5808459       29.4955836 
 00:53:17.21  +39:50:40.14       27.6144960       28.7792308 
 00:53:20.48  +39:50:50.91       29.3532742       30.5832257 
 00:53:31.12  +39:51:26.07       29.4320676       30.2815887 
 00:53:27.22  +39:51:13.14       29.2325351       30.6798754 
 00:53:20.42  +39:50:50.67       27.8349786       29.1518856 
 00:53:20.84  +39:50:52.05       29.2552199       30.6482130 
 00:53:29.58  +39:51:20.90       28.6527916       29.7305709 
 00:53:22.54  +39:50:57.63       28.9564416       30.2842181 
 00:53:24.92  +39:51:05.49       28.6081611       29.5772461 
 00:53:32.17  +39:51:29.40       28.6869394       29.7212410 
 00:53:19.52  +39:50:47.44       24.2486589       24.9242689 
 00:53:27.20  +39:51:12.84       28.8140133       29.8265760 
 00:53:17.61  +39:50:41.12       25.2235307       26.0839212 
 00:53:20.56  +39:50:50.82       27.1869394       28.2212410 
 00:53:27.12  +39:51:12.47       28.6544960       29.8192308 
 00:53:18.20  +39:50:42.93       28.7423090       29.6679161 
 00:53:26.47  +39:51:10.28       28.4752351       29.4225811 
 00:53:30.88  +39:51:24.81       24.5962155       25.4022588 
 00:53:21.84  +39:50:54.97       29.1586589       29.8342689 
 00:53:30.45  +39:51:23.33       27.1920676       28.0415887 
 00:53:23.70  +39:51:01.02       28.2769243       29.7568729 
 00:53:33.52  +39:51:33.44       29.1998503       30.7015379 
 00:53:18.72  +39:50:44.51       29.2752351       30.2225811 
 00:53:21.93  +39:50:55.11       28.4086438       29.5299009 
 00:53:20.98  +39:50:51.89       28.4403481       29.6485607 
 00:53:29.31  +39:51:19.44       27.1223090       28.0479161 
 00:53:20.16  +39:50:49.16       28.9932742       30.2232257 
 00:53:29.17  +39:51:18.83       27.9379198       28.8309187 
 00:53:19.59  +39:50:47.18       29.1357025       30.6808678 
 00:53:19.70  +39:50:47.49       29.1310872       30.1219110 
 00:53:20.58  +39:50:50.29       28.7230329       29.8768983 
 00:53:29.24  +39:51:18.80       27.6769394       28.7112410 
 00:53:32.15  +39:51:28.33       28.2425503       29.2442435 
 00:53:18.43  +39:50:42.96       28.8074220       29.9938958 
 00:53:24.58  +39:51:03.27       28.8727916       29.9505709 
 00:53:17.86  +39:50:40.99       28.0186438       29.1399009 
 00:53:31.91  +39:51:27.41       28.6610721       30.0975430 
 00:53:32.20  +39:51:28.38       29.1254764       30.1489085 
 00:53:17.04  +39:50:38.25       28.3164416       29.6442181 
 00:53:24.73  +39:51:03.63       28.6215699       29.7645658 
 00:53:30.46  +39:51:22.50       29.6481763       30.1716141 
 00:53:22.04  +39:50:54.64       28.4384025       29.4835735 
 00:53:25.76  +39:51:06.96       28.3037720       29.2402486 
 00:53:24.51  +39:51:02.78       29.3723090       30.2979161 
 00:53:17.95  +39:50:41.04       28.3269394       29.3612410 
 00:53:20.42  +39:50:49.13       27.4235155       28.7295531 
 00:53:26.98  +39:51:10.70       27.8464568       28.7285862 
 00:53:28.10  +39:51:14.39       28.5666981       29.5249136 
 00:53:30.31  +39:51:21.62       28.7320676       29.5815887 
 00:53:21.13  +39:50:51.29       29.2510872       30.2419110 
 00:53:21.90  +39:50:53.83       28.4649937       29.3362537 
 00:53:25.30  +39:51:05.04       27.6525503       28.6542435 
 00:53:19.71  +39:50:46.53       28.8566981       29.8149136 
 00:53:20.57  +39:50:49.36       28.5064416       29.8342181 
 00:53:19.02  +39:50:44.19       28.8625654       29.4186116 
 00:53:26.42  +39:51:08.58       27.6681611       28.6372461 
 00:53:33.01  +39:51:30.33       29.3152351       30.2625811 
 00:53:18.22  +39:50:41.43       29.1608459       30.0755836 
 00:53:31.82  +39:51:26.34       25.4918263       26.2652613 
 00:53:25.45  +39:51:05.27       29.2508459       30.1655836 
 00:53:22.94  +39:50:56.92       28.8142546       29.9029034 
 00:53:28.76  +39:51:16.14       28.6035307       29.4639212 
